,,,,,Recommended N (kg/ha),Recommended N (kg/ha),Recommended P2O5 (kg/ha),Recommended P2O5 (kg/ha),Recommended K2O (kg/ha),Recommended K2O (kg/ha)
MIMAROPA,5,Wet season,Manual,"(6, 8]",106.0,131.0,24.0,34.0,24.0,41.0
MIMAROPA,5,Wet season,Reaper,"(0, 2]",43.0,43.0,17.0,19.0,17.0,39.0
MIMAROPA,5,Wet season,Reaper,"(2, 4]",43.0,77.0,16.0,23.0,16.0,32.0
MIMAROPA,5,Wet season,Reaper,"(4, 6]",80.0,98.0,19.0,27.0,19.0,66.0
MIMAROPA,6,Dry season,Combined,"(0, 2]",43.0,44.0,12.0,13.0,10.0,13.0
MIMAROPA,6,Dry season,Combined,"(2, 4]",46.0,92.0,14.0,24.0,13.0,24.0
MIMAROPA,6,Dry season,Combined,"(4, 6]",74.0,128.0,20.0,33.0,20.0,53.0
MIMAROPA,6,Dry season,Combined,"(6, 8]",128.0,178.0,34.0,44.0,49.0,76.0
MIMAROPA,6,Dry season,Manual,"(0, 2]",30.0,49.0,10.0,18.0,0.0,21.0
MIMAROPA,6,Dry season,Manual,"(2, 4]",43.0,90.0,16.0,28.0,16.0,56.0
MIMAROPA,6,Dry season,Manual,"(4, 6]",84.0,131.0,25.0,36.0,42.0,75.0
MIMAROPA,6,Dry season,Manual,"(6, 8]",128.0,157.0,33.0,42.0,66.0,98.0
MIMAROPA,6,Dry season,Manual,"(8, 10]",126.0,173.0,36.0,47.0,78.0,100.0
MIMAROPA,6,Dry season,Reaper,"(2, 4]",64.0,64.0,20.0,20.0,20.0,20.0
MIMAROPA,6,Dry season,Reaper,"(4, 6]",92.0,98.0,26.0,28.0,45.0,57.0
MIMAROPA,6,Wet season,Combined,"(0, 2]",43.0,44.0,11.0,14.0,10.0,14.0
MIMAROPA,6,Wet season,Combined,"(2, 4]",43.0,77.0,11.0,20.0,10.0,20.0
MIMAROPA,6,Wet season,Combined,"(4, 6]",76.0,116.0,15.0,29.0,0.0,41.0
MIMAROPA,6,Wet season,Combined,"(6, 8]",98.0,128.0,25.0,32.0,25.0,45.0
MIMAROPA,6,Wet season,Manual,"(0, 2]",43.0,46.0,10.0,17.0,0.0,17.0
MIMAROPA,6,Wet season,Manual,"(2, 4]",43.0,77.0,13.0,24.0,13.0,46.0
MIMAROPA,6,Wet season,Manual,"(4, 6]",77.0,113.0,19.0,32.0,19.0,66.0
MIMAROPA,6,Wet season,Manual,"(6, 8]",95.0,120.0,28.0,34.0,48.0,68.0
MIMAROPA,6,Wet season,Manual,"(8, 10]",108.0,108.0,31.0,31.0,61.0,61.0
MIMAROPA,6,Wet season,Reaper,"(0, 2]",43.0,44.0,15.0,15.0,15.0,15.0
MIMAROPA,6,Wet season,Reaper,"(2, 4]",43.0,74.0,10.0,23.0,0.0,34.0
MIMAROPA,6,Wet season,Reaper,"(4, 6]",80.0,95.0,24.0,28.0,38.0,49.0
Region I,0,Dry season,Combined,"(0, 2]",82.0,82.0,13.0,16.0,13.0,16.0
Region I,0,Dry season,Combined,"(2, 4]",66.0,106.0,10.0,25.0,0.0,25.0
Region I,0,Dry season,Combined,"(4, 6]",82.0,139.0,15.0,33.0,0.0,33.0
Region I,0,Dry season,Combined,"(6, 8]",124.0,178.0,29.0,44.0,29.0,44.0
Region I,0,Dry season,Combined,"(8, 10]",137.0,186.0,32.0,47.0,32.0,57.0
Region I,0,Dry season,Combined,"(10, 13]",154.0,178.0,37.0,46.0,37.0,47.0
Region I,0,Dry season,Manual,"(0, 2]",82.0,82.0,17.0,20.0,17.0,20.0
Region I,0,Dry season,Manual,"(2, 4]",71.0,100.0,14.0,28.0,14.0,28.0
Region I,0,Dry season,Manual,"(4, 6]",82.0,143.0,18.0,38.0,18.0,50.0
Region I,0,Dry season,Manual,"(6, 8]",126.0,178.0,34.0,47.0,34.0,77.0
Region I,0,Dry season,Manual,"(8, 10]",152.0,186.0,40.0,51.0,50.0,90.0
Region I,0,Dry season,Manual,"(10, 13]",186.0,186.0,47.0,51.0,78.0,90.0
Region I,0,Dry season,Reaper,"(0, 2]",82.0,82.0,17.0,20.0,17.0,20.0
Region I,0,Dry season,Reaper,"(2, 4]",82.0,98.0,16.0,27.0,16.0,27.0
Region I,0,Dry season,Reaper,"(4, 6]",81.0,141.0,16.0,38.0,0.0,48.0
Region I,0,Dry season,Reaper,"(6, 8]",137.0,173.0,34.0,45.0,34.0,70.0
Region I,0,Dry season,Reaper,"(8, 10]",165.0,186.0,42.0,51.0,65.0,90.0
Region I,0,Wet season,Combined,"(0, 2]",82.0,82.0,13.0,16.0,13.0,16.0
Region I,0,Wet season,Combined,"(2, 4]",67.0,88.0,10.0,17.0,0.0,17.0
Region I,0,Wet season,Combined,"(4, 6]",82.0,124.0,11.0,29.0,0.0,29.0
Region I,0,Wet season,Combined,"(6, 8]",91.0,131.0,16.0,31.0,0.0,31.0
Region I,0,Wet season,Combined,"(8, 10]",98.0,139.0,23.0,33.0,23.0,33.0
Region I,0,Wet season,Manual,"(0, 2]",82.0,82.0,15.0,20.0,15.0,24.0
Region I,0,Wet season,Manual,"(2, 4]",63.0,84.0,10.0,21.0,0.0,24.0
Region I,0,Wet season,Manual,"(4, 6]",73.0,126.0,14.0,34.0,10.0,52.0
Region I,0,Wet season,Manual,"(6, 8]",91.0,146.0,19.0,39.0,19.0,67.0
Region I,0,Wet season,Manual,"(8, 10]",102.0,146.0,22.0,39.0,21.0,66.0
Region I,0,Wet season,Manual,"(10, 13]",137.0,137.0,36.0,41.0,59.0,74.0
Region I,0,Wet season,Reaper,"(0, 2]",82.0,82.0,20.0,20.0,20.0,24.0
Region I,0,Wet season,Reaper,"(2, 4]",72.0,82.0,14.0,20.0,14.0,24.0
Region I,0,Wet season,Reaper,"(4, 6]",82.0,124.0,19.0,33.0,19.0,49.0
Region I,0,Wet season,Reaper,"(6, 8]",106.0,137.0,29.0,37.0,29.0,61.0
Region I,0,Wet season,Reaper,"(8, 10]",108.0,113.0,30.0,31.0,38.0,42.0
Region I,1,Dry season,Combined,"(0, 2]",82.0,82.0,11.0,16.0,0.0,16.0
Region I,1,Dry season,Combined,"(2, 4]",74.0,100.0,11.0,23.0,0.0,23.0
Region I,1,Dry season,Combined,"(4, 6]",84.0,131.0,15.0,33.0,0.0,43.0
Region I,1,Dry season,Combined,"(6, 8]",131.0,161.0,31.0,38.0,31.0,49.0
Region I,1,Dry season,Combined,"(8, 10]",167.0,186.0,40.0,47.0,40.0,57.0
Region I,1,Dry season,Manual,"(0, 2]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,1,Dry season,Manual,"(2, 4]",82.0,100.0,20.0,28.0,20.0,28.0
Region I,1,Dry season,Manual,"(4, 6]",84.0,141.0,21.0,38.0,21.0,48.0
Region I,1,Dry season,Manual,"(6, 8]",137.0,157.0,36.0,41.0,41.0,60.0
Region I,1,Dry season,Manual,"(8, 10]",175.0,175.0,46.0,46.0,72.0,72.0
Region I,1,Dry season,Reaper,"(0, 2]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,1,Dry season,Reaper,"(2, 4]",67.0,90.0,18.0,22.0,18.0,22.0
Region I,1,Dry season,Reaper,"(4, 6]",92.0,128.0,23.0,35.0,23.0,35.0
Region I,1,Dry season,Reaper,"(6, 8]",137.0,143.0,37.0,38.0,46.0,52.0
Region I,1,Dry season,Reaper,"(8, 10]",167.0,167.0,44.0,44.0,69.0,69.0
Region I,1,Wet season,Combined,"(0, 2]",43.0,82.0,11.0,16.0,11.0,16.0
Region I,1,Wet season,Combined,"(2, 4]",48.0,82.0,10.0,20.0,0.0,20.0
Region I,1,Wet season,Combined,"(4, 6]",80.0,118.0,13.0,28.0,0.0,28.0
Region I,1,Wet season,Combined,"(6, 8]",100.0,128.0,24.0,31.0,24.0,31.0
Region I,1,Wet season,Combined,"(8, 10]",106.0,131.0,25.0,31.0,25.0,31.0
Region I,1,Wet season,Manual,"(0, 2]",43.0,82.0,14.0,20.0,14.0,24.0
Region I,1,Wet season,Manual,"(2, 4]",44.0,82.0,11.0,23.0,0.0,32.0
Region I,1,Wet season,Manual,"(4, 6]",71.0,118.0,13.0,32.0,13.0,46.0
Region I,1,Wet season,Manual,"(6, 8]",102.0,143.0,28.0,38.0,29.0,65.0
Region I,1,Wet season,Manual,"(8, 10]",113.0,143.0,31.0,38.0,42.0,65.0
Region I,1,Wet season,Reaper,"(0, 2]",82.0,82.0,17.0,20.0,17.0,24.0
Region I,1,Wet season,Reaper,"(2, 4]",44.0,82.0,11.0,21.0,0.0,24.0
Region I,1,Wet season,Reaper,"(4, 6]",82.0,124.0,15.0,31.0,15.0,44.0
Region I,1,Wet season,Reaper,"(6, 8]",102.0,120.0,28.0,33.0,34.0,48.0
Region I,1,Wet season,Reaper,"(8, 10]",113.0,113.0,31.0,31.0,40.0,40.0
Region I,2,Dry season,Combined,"(0, 2]",44.0,44.0,12.0,12.0,12.0,12.0
Region I,2,Dry season,Combined,"(2, 4]",43.0,84.0,12.0,21.0,12.0,21.0
Region I,2,Dry season,Combined,"(4, 6]",84.0,118.0,21.0,29.0,21.0,29.0
Region I,2,Dry season,Combined,"(6, 8]",126.0,126.0,30.0,30.0,30.0,30.0
Region I,2,Dry season,Manual,"(0, 2]",43.0,44.0,12.0,15.0,12.0,15.0
Region I,2,Dry season,Manual,"(2, 4]",46.0,92.0,13.0,24.0,0.0,35.0
Region I,2,Dry season,Manual,"(4, 6]",83.0,124.0,20.0,34.0,20.0,67.0
Region I,2,Dry season,Manual,"(6, 8]",159.0,159.0,43.0,43.0,90.0,90.0
Region I,2,Dry season,Manual,"(8, 10]",184.0,184.0,51.0,51.0,112.0,112.0
Region I,2,Dry season,Reaper,"(2, 4]",46.0,48.0,16.0,16.0,16.0,16.0
Region I,2,Dry season,Reaper,"(4, 6]",100.0,131.0,29.0,36.0,51.0,72.0
Region I,2,Dry season,Reaper,"(6, 8]",167.0,167.0,45.0,45.0,94.0,94.0
Region I,2,Wet season,Combined,"(0, 2]",43.0,44.0,11.0,12.0,10.0,12.0
Region I,2,Wet season,Combined,"(2, 4]",43.0,77.0,10.0,20.0,10.0,20.0
Region I,2,Wet season,Combined,"(4, 6]",74.0,116.0,18.0,28.0,15.0,28.0
Region I,2,Wet season,Combined,"(6, 8]",108.0,110.0,27.0,28.0,27.0,28.0
Region I,2,Wet season,Manual,"(0, 2]",43.0,44.0,14.0,15.0,14.0,16.0
Region I,2,Wet season,Manual,"(2, 4]",43.0,80.0,14.0,23.0,14.0,31.0
Region I,2,Wet season,Manual,"(4, 6]",72.0,124.0,21.0,34.0,21.0,65.0
Region I,2,Wet season,Manual,"(6, 8]",116.0,126.0,30.0,35.0,54.0,67.0
Region I,2,Wet season,Reaper,"(0, 2]",44.0,44.0,15.0,15.0,15.0,15.0
Region I,2,Wet season,Reaper,"(2, 4]",43.0,74.0,14.0,22.0,14.0,31.0
Region I,2,Wet season,Reaper,"(4, 6]",77.0,108.0,23.0,30.0,33.0,54.0
Region I,3,Dry season,Combined,"(0, 2]",69.0,82.0,10.0,16.0,0.0,16.0
Region I,3,Dry season,Combined,"(2, 4]",72.0,98.0,10.0,23.0,0.0,23.0
Region I,3,Dry season,Combined,"(4, 6]",84.0,133.0,16.0,32.0,0.0,32.0
Region I,3,Dry season,Combined,"(6, 8]",131.0,161.0,31.0,39.0,31.0,39.0
Region I,3,Dry season,Manual,"(0, 2]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,3,Dry season,Manual,"(2, 4]",82.0,92.0,18.0,23.0,18.0,23.0
Region I,3,Dry season,Manual,"(4, 6]",88.0,124.0,21.0,33.0,21.0,33.0
Region I,3,Dry season,Manual,"(6, 8]",143.0,143.0,38.0,38.0,50.0,50.0
Region I,3,Dry season,Reaper,"(2, 4]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,3,Dry season,Reaper,"(4, 6]",82.0,113.0,20.0,31.0,20.0,31.0
Region I,3,Wet season,Combined,"(0, 2]",71.0,82.0,10.0,16.0,0.0,16.0
Region I,3,Wet season,Combined,"(2, 4]",82.0,82.0,16.0,16.0,16.0,16.0
Region I,3,Wet season,Combined,"(4, 6]",82.0,116.0,12.0,27.0,0.0,27.0
Region I,3,Wet season,Combined,"(6, 8]",100.0,110.0,24.0,26.0,24.0,26.0
Region I,3,Wet season,Combined,"(8, 10]",110.0,110.0,26.0,26.0,26.0,26.0
Region I,3,Wet season,Manual,"(0, 2]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,3,Wet season,Manual,"(2, 4]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,3,Wet season,Manual,"(4, 6]",82.0,92.0,20.0,23.0,20.0,23.0
Region I,3,Wet season,Manual,"(6, 8]",110.0,110.0,30.0,30.0,42.0,42.0
Region I,3,Wet season,Reaper,"(0, 2]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,3,Wet season,Reaper,"(2, 4]",82.0,82.0,20.0,20.0,20.0,20.0
Region I,3,Wet season,Reaper,"(4, 6]",102.0,102.0,29.0,29.0,28.0,29.0
Region I,3,Wet season,Reaper,"(6, 8]",110.0,110.0,30.0,30.0,42.0,42.0
Region I,5,Dry season,Combined,"(0, 2]",37.0,57.0,10.0,18.0,10.0,18.0
Region I,5,Dry season,Combined,"(2, 4]",10.0,84.0,10.0,21.0,10.0,21.0
Region I,5,Dry season,Combined,"(4, 6]",50.0,90.0,10.0,22.0,10.0,22.0
Region I,5,Dry season,Combined,"(6, 8]",89.0,165.0,10.0,34.0,10.0,34.0
Region I,5,Dry season,Combined,"(8, 10]",105.0,113.0,10.0,19.0,10.0,19.0
Region I,5,Dry season,Manual,"(0, 2]",37.0,37.0,10.0,10.0,10.0,20.0
Region I,5,Dry season,Manual,"(2, 4]",10.0,53.0,10.0,15.0,10.0,22.0
Region I,5,Dry season,Manual,"(4, 6]",47.0,97.0,10.0,19.0,10.0,30.0
Region I,5,Dry season,Manual,"(6, 8]",91.0,104.0,18.0,27.0,29.0,61.0
Region I,5,Dry season,Manual,"(8, 10]",125.0,133.0,24.0,25.0,34.0,36.0
Region I,5,Dry season,Manual,"(10, 13]",119.0,121.0,28.0,29.0,39.0,39.0
Region I,5,Dry season,Reaper,"(2, 4]",10.0,53.0,10.0,15.0,10.0,22.0
Region I,5,Dry season,Reaper,"(4, 6]",56.0,70.0,11.0,21.0,21.0,23.0
Region I,5,Wet season,Combined,"(0, 2]",43.0,82.0,15.0,24.0,15.0,53.0
Region I,5,Wet season,Combined,"(2, 4]",43.0,82.0,13.0,21.0,10.0,41.0
Region I,5,Wet season,Combined,"(4, 6]",74.0,118.0,12.0,26.0,0.0,26.0
Region I,5,Wet season,Combined,"(6, 8]",108.0,131.0,20.0,25.0,20.0,25.0
Region I,5,Wet season,Combined,"(8, 10]",102.0,128.0,17.0,24.0,17.0,22.0
Region I,5,Wet season,Manual,"(0, 2]",43.0,82.0,16.0,24.0,17.0,50.0
Region I,5,Wet season,Manual,"(2, 4]",43.0,82.0,10.0,24.0,0.0,54.0
Region I,5,Wet season,Manual,"(4, 6]",72.0,120.0,14.0,32.0,14.0,70.0
Region I,5,Wet season,Manual,"(6, 8]",86.0,143.0,16.0,35.0,0.0,53.0
Region I,5,Wet season,Manual,"(8, 10]",95.0,139.0,22.0,33.0,23.0,33.0
Region I,5,Wet season,Reaper,"(0, 2]",43.0,82.0,17.0,24.0,17.0,49.0
Region I,5,Wet season,Reaper,"(2, 4]",43.0,82.0,16.0,24.0,16.0,48.0
Region I,5,Wet season,Reaper,"(4, 6]",77.0,113.0,20.0,30.0,20.0,42.0
Region I,5,Wet season,Reaper,"(6, 8]",108.0,128.0,28.0,32.0,28.0,36.0
Region I,6,Dry season,Combined,"(0, 2]",43.0,44.0,12.0,12.0,12.0,12.0
Region I,6,Dry season,Combined,"(2, 4]",51.0,92.0,13.0,23.0,13.0,23.0
Region I,6,Dry season,Combined,"(4, 6]",72.0,131.0,18.0,33.0,18.0,48.0
Region I,6,Dry season,Combined,"(6, 8]",143.0,159.0,31.0,39.0,31.0,64.0
Region I,6,Dry season,Manual,"(0, 2]",43.0,52.0,15.0,17.0,15.0,17.0
Region I,6,Dry season,Manual,"(2, 4]",54.0,88.0,18.0,25.0,18.0,38.0
Region I,6,Dry season,Manual,"(4, 6]",95.0,141.0,24.0,38.0,35.0,77.0
Region I,6,Dry season,Manual,"(6, 8]",146.0,146.0,40.0,40.0,82.0,82.0
Region I,6,Dry season,Reaper,"(0, 2]",44.0,44.0,15.0,15.0,15.0,15.0
Region I,6,Dry season,Reaper,"(2, 4]",64.0,80.0,20.0,24.0,20.0,34.0
Region I,6,Dry season,Reaper,"(4, 6]",90.0,90.0,26.0,26.0,42.0,42.0
Region I,6,Wet season,Combined,"(0, 2]",43.0,44.0,10.0,12.0,10.0,12.0
Region I,6,Wet season,Combined,"(2, 4]",43.0,80.0,11.0,21.0,11.0,21.0
Region I,6,Wet season,Combined,"(4, 6]",77.0,116.0,19.0,29.0,16.0,29.0
Region I,6,Wet season,Combined,"(6, 8]",108.0,131.0,23.0,33.0,21.0,43.0
Region I,6,Wet season,Combined,"(8, 10]",100.0,116.0,22.0,28.0,21.0,28.0
Region I,6,Wet season,Manual,"(0, 2]",43.0,44.0,12.0,15.0,12.0,16.0
Region I,6,Wet season,Manual,"(2, 4]",43.0,84.0,10.0,25.0,0.0,37.0
Region I,6,Wet season,Manual,"(4, 6]",67.0,120.0,14.0,33.0,14.0,63.0
Region I,6,Wet season,Manual,"(6, 8]",102.0,137.0,25.0,37.0,42.0,74.0
Region I,6,Wet season,Manual,"(8, 10]",113.0,113.0,31.0,31.0,57.0,57.0
Region I,6,Wet season,Reaper,"(0, 2]",43.0,44.0,14.0,15.0,14.0,15.0
Region I,6,Wet season,Reaper,"(2, 4]",43.0,82.0,14.0,24.0,14.0,34.0
Region I,6,Wet season,Reaper,"(4, 6]",77.0,113.0,23.0,31.0,31.0,56.0
Region I,6,Wet season,Reaper,"(6, 8]",110.0,116.0,31.0,32.0,56.0,59.0
Region II,0,Dry season,Combined,"(0, 2]",48.0,82.0,10.0,17.0,0.0,17.0
Region II,0,Dry season,Combined,"(2, 4]",53.0,110.0,10.0,27.0,0.0,27.0
Region II,0,Dry season,Combined,"(4, 6]",74.0,143.0,10.0,37.0,0.0,37.0
Region II,0,Dry season,Combined,"(6, 8]",82.0,178.0,14.0,46.0,0.0,66.0
Region II,0,Dry season,Combined,"(8, 10]",82.0,186.0,14.0,50.0,14.0,77.0
Region II,0,Dry season,Combined,"(10, 13]",124.0,186.0,30.0,50.0,29.0,77.0
Region II,0,Dry season,Manual,"(0, 2]",54.0,82.0,10.0,20.0,0.0,24.0
Region II,0,Dry season,Manual,"(2, 4]",56.0,113.0,10.0,31.0,0.0,32.0
Region II,0,Dry season,Manual,"(4, 6]",72.0,143.0,19.0,39.0,19.0,61.0
Region II,0,Dry season,Manual,"(6, 8]",82.0,178.0,19.0,48.0,19.0,90.0
Region II,0,Dry season,Manual,"(8, 10]",146.0,186.0,40.0,53.0,58.0,103.0
Region II,0,Dry season,Manual,"(10, 13]",167.0,186.0,44.0,53.0,73.0,103.0
Region II,0,Dry season,Reaper,"(0, 2]",56.0,82.0,15.0,20.0,15.0,24.0
Region II,0,Dry season,Reaper,"(2, 4]",56.0,100.0,15.0,29.0,15.0,29.0
Region II,0,Dry season,Reaper,"(4, 6]",82.0,139.0,20.0,38.0,20.0,59.0
Region II,0,Dry season,Reaper,"(6, 8]",128.0,175.0,32.0,48.0,32.0,90.0
Region II,0,Dry season,Reaper,"(8, 10]",154.0,186.0,41.0,53.0,59.0,103.0
Region II,0,Dry season,Reaper,"(10, 13]",172.0,172.0,48.0,48.0,81.0,81.0
Region II,0,Wet season,Combined,"(0, 2]",66.0,82.0,10.0,17.0,0.0,17.0
Region II,0,Wet season,Combined,"(2, 4]",66.0,88.0,10.0,18.0,0.0,18.0
Region II,0,Wet season,Combined,"(4, 6]",72.0,128.0,11.0,31.0,0.0,31.0
Region II,0,Wet season,Combined,"(6, 8]",82.0,152.0,15.0,37.0,15.0,37.0
Region II,0,Wet season,Combined,"(8, 10]",84.0,152.0,16.0,37.0,16.0,37.0
Region II,0,Wet season,Combined,"(10, 13]",148.0,148.0,36.0,36.0,36.0,36.0
Region II,0,Wet season,Manual,"(0, 2]",70.0,82.0,15.0,20.0,15.0,24.0
Region II,0,Wet season,Manual,"(2, 4]",70.0,88.0,14.0,22.0,14.0,24.0
Region II,0,Wet season,Manual,"(4, 6]",77.0,126.0,16.0,34.0,14.0,56.0
Region II,0,Wet season,Manual,"(6, 8]",88.0,152.0,21.0,41.0,21.0,75.0
Region II,0,Wet season,Manual,"(8, 10]",90.0,152.0,21.0,41.0,21.0,75.0
Region II,0,Wet season,Reaper,"(0, 2]",66.0,82.0,11.0,20.0,0.0,24.0
Region II,0,Wet season,Reaper,"(2, 4]",66.0,84.0,11.0,21.0,0.0,24.0
Region II,0,Wet season,Reaper,"(4, 6]",82.0,124.0,16.0,33.0,16.0,51.0
Region II,0,Wet season,Reaper,"(6, 8]",84.0,146.0,20.0,39.0,20.0,70.0
Region II,0,Wet season,Reaper,"(8, 10]",108.0,131.0,30.0,35.0,30.0,56.0
Region II,1,Dry season,Combined,"(0, 2]",44.0,82.0,12.0,16.0,12.0,16.0
Region II,1,Dry season,Combined,"(2, 4]",52.0,92.0,12.0,26.0,12.0,45.0
Region II,1,Dry season,Combined,"(4, 6]",82.0,139.0,15.0,34.0,15.0,65.0
Region II,1,Dry season,Combined,"(6, 8]",124.0,178.0,30.0,45.0,30.0,62.0
Region II,1,Dry season,Combined,"(8, 10]",148.0,184.0,36.0,47.0,36.0,60.0
Region II,1,Dry season,Manual,"(0, 2]",43.0,82.0,15.0,20.0,15.0,20.0
Region II,1,Dry season,Manual,"(2, 4]",57.0,92.0,15.0,29.0,15.0,60.0
Region II,1,Dry season,Manual,"(4, 6]",84.0,126.0,22.0,35.0,22.0,67.0
Region II,1,Dry season,Manual,"(6, 8]",133.0,169.0,36.0,45.0,48.0,96.0
Region II,1,Dry season,Manual,"(8, 10]",141.0,186.0,38.0,52.0,54.0,96.0
Region II,1,Dry season,Reaper,"(0, 2]",44.0,82.0,15.0,20.0,15.0,31.0
Region II,1,Dry season,Reaper,"(2, 4]",59.0,100.0,16.0,29.0,16.0,29.0
Region II,1,Dry season,Reaper,"(4, 6]",92.0,133.0,22.0,37.0,22.0,55.0
Region II,1,Dry season,Reaper,"(6, 8]",141.0,152.0,37.0,41.0,37.0,67.0
Region II,1,Dry season,Reaper,"(8, 10]",186.0,186.0,53.0,53.0,103.0,103.0
Region II,1,Wet season,Combined,"(0, 2]",43.0,82.0,12.0,16.0,12.0,16.0
Region II,1,Wet season,Combined,"(2, 4]",51.0,82.0,13.0,20.0,13.0,19.0
Region II,1,Wet season,Combined,"(4, 6]",72.0,124.0,15.0,30.0,15.0,36.0
Region II,1,Wet season,Combined,"(6, 8]",106.0,141.0,25.0,34.0,25.0,34.0
Region II,1,Wet season,Combined,"(8, 10]",113.0,126.0,26.0,30.0,26.0,30.0
Region II,1,Wet season,Manual,"(0, 2]",82.0,82.0,20.0,20.0,20.0,20.0
Region II,1,Wet season,Manual,"(2, 4]",70.0,82.0,20.0,22.0,20.0,24.0
Region II,1,Wet season,Manual,"(4, 6]",84.0,108.0,21.0,30.0,21.0,38.0
Region II,1,Wet season,Manual,"(6, 8]",113.0,133.0,31.0,36.0,45.0,60.0
Region II,1,Wet season,Reaper,"(0, 2]",82.0,82.0,19.0,20.0,19.0,24.0
Region II,1,Wet season,Reaper,"(2, 4]",82.0,82.0,20.0,20.0,20.0,20.0
Region II,1,Wet season,Reaper,"(4, 6]",82.0,108.0,20.0,30.0,20.0,38.0
Region II,1,Wet season,Reaper,"(6, 8]",108.0,113.0,30.0,31.0,38.0,45.0
Region II,2,Dry season,Combined,"(0, 2]",43.0,51.0,10.0,18.0,0.0,18.0
Region II,2,Dry season,Combined,"(2, 4]",40.0,102.0,10.0,30.0,0.0,58.0
Region II,2,Dry season,Combined,"(4, 6]",82.0,137.0,22.0,38.0,16.0,78.0
Region II,2,Dry season,Combined,"(6, 8]",124.0,173.0,32.0,47.0,45.0,102.0
Region II,2,Dry season,Combined,"(8, 10]",152.0,178.0,39.0,48.0,70.0,101.0
Region II,2,Dry season,Manual,"(0, 2]",43.0,57.0,13.0,20.0,13.0,34.0
Region II,2,Dry season,Manual,"(2, 4]",43.0,92.0,12.0,28.0,12.0,59.0
Region II,2,Dry season,Manual,"(4, 6]",74.0,137.0,24.0,39.0,40.0,87.0
Region II,2,Dry season,Manual,"(6, 8]",133.0,175.0,38.0,49.0,80.0,111.0
Region II,2,Dry season,Manual,"(8, 10]",128.0,186.0,37.0,54.0,78.0,125.0
Region II,2,Dry season,Reaper,"(0, 2]",43.0,44.0,16.0,17.0,16.0,27.0
Region II,2,Dry season,Reaper,"(2, 4]",43.0,82.0,16.0,25.0,16.0,51.0
Region II,2,Dry season,Reaper,"(4, 6]",88.0,128.0,24.0,36.0,43.0,77.0
Region II,2,Dry season,Reaper,"(6, 8]",141.0,169.0,39.0,46.0,83.0,100.0
Region II,2,Wet season,Combined,"(0, 2]",43.0,44.0,10.0,14.0,0.0,14.0
Region II,2,Wet season,Combined,"(2, 4]",43.0,80.0,10.0,22.0,0.0,23.0
Region II,2,Wet season,Combined,"(4, 6]",74.0,120.0,18.0,32.0,15.0,55.0
Region II,2,Wet season,Combined,"(6, 8]",80.0,143.0,22.0,37.0,22.0,66.0
Region II,2,Wet season,Combined,"(8, 10]",108.0,152.0,28.0,39.0,29.0,69.0
Region II,2,Wet season,Manual,"(0, 2]",30.0,44.0,10.0,16.0,0.0,18.0
Region II,2,Wet season,Manual,"(2, 4]",43.0,80.0,12.0,25.0,0.0,45.0
Region II,2,Wet season,Manual,"(4, 6]",43.0,120.0,16.0,34.0,16.0,71.0
Region II,2,Wet season,Manual,"(6, 8]",90.0,128.0,27.0,37.0,52.0,80.0
Region II,2,Wet season,Manual,"(8, 10]",100.0,124.0,30.0,35.0,59.0,72.0
Region II,2,Wet season,Reaper,"(0, 2]",30.0,43.0,10.0,16.0,0.0,16.0
Region II,2,Wet season,Reaper,"(2, 4]",43.0,77.0,12.0,24.0,12.0,41.0
Region II,2,Wet season,Reaper,"(4, 6]",82.0,116.0,25.0,33.0,43.0,66.0
Region II,2,Wet season,Reaper,"(6, 8]",133.0,133.0,37.0,37.0,79.0,79.0
Region II,3,Dry season,Combined,"(0, 2]",70.0,82.0,13.0,17.0,13.0,17.0
Region II,3,Dry season,Combined,"(2, 4]",67.0,92.0,13.0,21.0,13.0,21.0
Region II,3,Dry season,Combined,"(4, 6]",82.0,133.0,16.0,33.0,16.0,33.0
Region II,3,Dry season,Combined,"(6, 8]",133.0,173.0,30.0,42.0,30.0,42.0
Region II,3,Dry season,Combined,"(8, 10]",167.0,174.0,40.0,45.0,40.0,51.0
Region II,3,Dry season,Manual,"(0, 2]",70.0,82.0,17.0,20.0,18.0,20.0
Region II,3,Dry season,Manual,"(2, 4]",65.0,92.0,12.0,22.0,0.0,24.0
Region II,3,Dry season,Manual,"(4, 6]",98.0,128.0,27.0,35.0,27.0,44.0
Region II,3,Dry season,Manual,"(6, 8]",143.0,143.0,39.0,39.0,56.0,56.0
Region II,3,Dry season,Reaper,"(0, 2]",82.0,82.0,20.0,20.0,20.0,24.0
Region II,3,Dry season,Reaper,"(2, 4]",77.0,84.0,19.0,21.0,19.0,24.0
Region II,3,Dry season,Reaper,"(4, 6]",82.0,128.0,20.0,34.0,20.0,36.0
Region II,3,Dry season,Reaper,"(6, 8]",131.0,169.0,35.0,44.0,35.0,68.0
